[2024-10-14 14:05:29] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:29] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:29] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:29] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:29] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:29] ,4, Receive TERM : 00:00:00.496
[2024-10-14 14:05:29] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:29] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:30] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:30] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:30] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:30] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:30] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:30] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:30] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:30] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:31] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:31] ,4, Receive TERM : 00:00:00.496
[2024-10-14 14:05:31] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:31] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:31] ,3, Receive TERM : 00:00:00.493
[2024-10-14 14:05:31] ,4, Receive TERM : 00:00:00.479
[2024-10-14 14:05:31] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:31] ,2, Receive TERM : 00:00:00.478
[2024-10-14 14:05:32] ,3, Receive TERM : 00:00:00.480
[2024-10-14 14:05:32] ,4, Receive TERM : 00:00:00.492
[2024-10-14 14:05:32] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:32] ,2, Receive TERM : 00:00:00.509
[2024-10-14 14:05:32] ,3, Receive TERM : 00:00:00.510
[2024-10-14 14:05:32] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:32] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:32] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:33] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:33] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:33] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:33] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:33] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:33] ,4, Receive TERM : 00:00:00.511
[2024-10-14 14:05:33] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:33] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:34] ,3, Receive TERM : 00:00:00.479
[2024-10-14 14:05:34] ,4, Receive TERM : 00:00:00.477
[2024-10-14 14:05:34] ,1, Receive TERM : 00:00:00.496
[2024-10-14 14:05:34] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:34] ,3, Receive TERM : 00:00:00.510
[2024-10-14 14:05:34] ,4, Receive TERM : 00:00:00.512
[2024-10-14 14:05:34] ,1, Receive TERM : 00:00:00.496
[2024-10-14 14:05:34] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:35] ,3, Receive TERM : 00:00:00.480
[2024-10-14 14:05:35] ,4, Receive TERM : 00:00:00.499
[2024-10-14 14:05:35] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:35] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:35] ,3, Receive TERM : 00:00:00.510
[2024-10-14 14:05:35] ,4, Receive TERM : 00:00:00.489
[2024-10-14 14:05:35] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:35] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:36] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:36] ,4, Receive TERM : 00:00:00.493
[2024-10-14 14:05:36] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:36] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:36] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:36] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:36] ,1, Receive TERM : 00:00:00.493
[2024-10-14 14:05:36] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:37] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:37] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:37] ,1, Receive TERM : 00:00:00.510
[2024-10-14 14:05:37] ,2, Receive TERM : 00:00:00.512
[2024-10-14 14:05:37] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:37] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:37] ,1, Receive TERM : 00:00:00.479
[2024-10-14 14:05:37] ,2, Receive TERM : 00:00:00.478
[2024-10-14 14:05:37] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:38] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:38] ,1, Receive TERM : 00:00:00.510
[2024-10-14 14:05:38] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:38] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:38] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:38] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:38] ,2, Receive TERM : 00:00:00.510
[2024-10-14 14:05:38] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:39] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:39] ,1, Receive TERM : 00:00:00.479
[2024-10-14 14:05:39] ,2, Receive TERM : 00:00:00.480
[2024-10-14 14:05:39] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:39] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:39] ,1, Receive TERM : 00:00:00.510
[2024-10-14 14:05:39] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:39] ,3, Receive TERM : 00:00:00.493
[2024-10-14 14:05:40] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:40] ,1, Receive TERM : 00:00:00.478
[2024-10-14 14:05:40] ,2, Receive TERM : 00:00:00.493
[2024-10-14 14:05:40] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:40] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:40] ,1, Receive TERM : 00:00:00.511
[2024-10-14 14:05:40] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:40] ,3, Receive TERM : 00:00:00.470
[2024-10-14 14:05:41] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:41] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:41] ,2, Receive TERM : 00:00:00.511
[2024-10-14 14:05:41] ,3, Receive TERM : 00:00:00.511
[2024-10-14 14:05:41] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:41] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:41] ,2, Receive TERM : 00:00:00.495
