[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:31] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:31] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:05:31] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:31] ,0, Receive TERM : 00:00:00.129
[2024-10-14 14:05:31] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:05:31] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:31] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:31] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:32] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:32] ,0, Receive TERM : 00:00:00.130
[2024-10-14 14:05:32] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:32] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:32] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:32] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:32] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:32] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:33] ,0, Receive TERM : 00:00:00.131
[2024-10-14 14:05:33] ,0, Receive TERM : 00:00:00.123
[2024-10-14 14:05:33] ,0, Receive TERM : 00:00:00.123
[2024-10-14 14:05:33] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:33] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:33] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:33] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:33] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:34] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:34] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:34] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:34] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:34] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:34] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:34] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:34] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.142
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.095
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:35] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:36] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:36] ,0, Receive TERM : 00:00:00.124
[2024-10-14 14:05:36] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:36] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:36] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:36] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:36] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:37] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:38] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:38] ,0, Receive TERM : 00:00:00.107
[2024-10-14 14:05:38] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:38] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:38] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:38] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:38] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:38] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:39] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:39] ,0, Receive TERM : 00:00:00.105
[2024-10-14 14:05:39] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:39] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:39] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:39] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:39] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:39] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:40] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:40] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:40] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:40] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:40] ,0, Receive TERM : 00:00:00.102
[2024-10-14 14:05:40] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:40] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:40] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:41] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:41] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:41] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:41] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:41] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:41] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:41] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:41] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:42] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:42] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:42] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:42] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:42] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:42] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:42] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:42] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:43] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:43] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:43] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:43] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:43] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:43] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:43] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:43] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:44] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:44] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:44] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:44] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:44] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:44] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:44] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:05:44] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:45] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:45] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:45] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:45] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:45] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:45] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:45] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:45] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:46] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:46] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:46] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:46] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:46] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:46] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:46] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:46] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:47] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:47] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:47] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:47] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:47] ,0, Receive TERM : 00:00:00.158
[2024-10-14 14:05:47] ,0, Receive TERM : 00:00:00.080
[2024-10-14 14:05:47] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:47] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:48] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:48] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:48] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:48] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:48] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:48] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:48] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:48] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.108
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:49] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:50] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:50] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:50] ,0, Receive TERM : 00:00:00.126
